3000
8956
0, 747
0, 861
0, 1513
1, 2727
2, 2950
3, 869
4, 1376
4, 1464
4, 2191
5, 1081
5, 1787
5, 2821
6, 519
6, 1099
6, 1672
6, 2165
7, 1781
8, 33
8, 2188
8, 2233
9, 612
9, 1707
9, 2365
11, 350
11, 1851
11, 2345
12, 1517
14, 901
14, 1067
14, 1144
14, 1887
15, 416
15, 2563
16, 53
16, 1010
16, 2866
17, 144
17, 397
17, 873
17, 2229
17, 2489
17, 2997
18, 441
18, 657
18, 1025
18, 1175
18, 1251
18, 1296
19, 740
19, 1955
19, 1962
19, 2331
20, 449
20, 1179
20, 1825
21, 369
21, 2755
22, 36
22, 2054
22, 2842
23, 1517
24, 392
24, 422
24, 1194
24, 1574
25, 1047
25, 2477
26, 626
26, 771
26, 2939
27, 128
27, 1147
27, 1479
27, 1628
27, 1917
27, 2801
28, 2646
29, 2761
29, 2774
30, 196
30, 1135
30, 2767
31, 746
31, 899
31, 1157
31, 1478
31, 1540
31, 2265
31, 2343
31, 2354
32, 462
32, 1593
32, 1600
32, 1659
32, 1881
32, 2767
33, 8
33, 82
33, 162
33, 2350
33, 2353
33, 2905
34, 1184
34, 1862
35, 1077
35, 1771
35, 2210
35, 2395
35, 2804
36, 22
36, 45
36, 1425
36, 2212
36, 2286
36, 2787
37, 96
38, 387
38, 526
38, 2474
38, 2848
39, 960
39, 1001
39, 2015
40, 1430
40, 2268
41, 689
41, 854
41, 993
41, 1611
41, 2342
41, 2615
41, 2750
42, 449
42, 544
42, 1332
42, 1654
42, 2781
43, 587
43, 622
43, 825
43, 1518
43, 1794
43, 2131
43, 2747
43, 2766
44, 2260
44, 2470
45, 36
46, 653
46, 1820
46, 2461
46, 2901
47, 1445
48, 606
48, 1271
48, 1272
48, 1364
48, 1436
48, 1819
48, 2685
49, 1423
49, 2975
50, 328
50, 1461
50, 1487
50, 2310
52, 469
52, 2061
52, 2716
53, 16
53, 823
53, 964
53, 1446
53, 2474
54, 300
54, 727
54, 2830
55, 469
55, 482
55, 568
55, 1622
55, 1736
55, 2391
56, 572
56, 744
56, 1592
56, 2704
57, 1323
57, 2049
57, 2359
57, 2506
58, 794
58, 1300
58, 2041
58, 2515
59, 593
59, 2579
59, 2815
60, 1669
60, 1900
60, 2055
61, 143
61, 432
61, 1746
62, 304
62, 842
62, 1150
62, 1380
62, 1388
62, 2510
62, 2727
63, 550
63, 1577
64, 217
64, 1236
65, 529
65, 1348
66, 2667
67, 985
67, 1247
67, 2306
69, 756
69, 1538
69, 2566
69, 2633
69, 2681
70, 236
70, 1276
70, 1710
71, 415
71, 728
71, 2773
72, 2084
72, 2370
74, 170
74, 863
74, 2726
74, 2986
75, 960
75, 1045
75, 1620
75, 1703
76, 174
76, 1043
76, 2250
77, 430
78, 2055
79, 683
79, 1940
79, 2332
79, 2870
80, 980
80, 1368
81, 1900
82, 33
82, 939
82, 1358
82, 1663
82, 1692
82, 1811
82, 2931
83, 1806
83, 2951
